fitted,residual
-8.549449719160291629e-04,-5.295297730272083715e-05
-1.292958810410103259e-03,3.410871275385325870e-05
-1.041678458300848969e-03,1.108923254883489688e-04
-7.008627679893470429e-04,7.525241642684704288e-05
-1.096533252281923230e-03,8.945317415692322950e-05
-1.470944629055833102e-03,-1.464870115691668979e-04
-1.614782009511904221e-03,-3.230842014255957788e-04
-1.791641194936552861e-03,-1.462250160009471393e-04
-1.482709883139858359e-03,-4.322681442038916414e-04
-1.017146381847698882e-03,-4.324385790898011180e-04
-4.523054609987137717e-04,-2.190812577512862283e-04
-6.119111246997535375e-05,-9.139677815502464625e-05
5.453068328721484863e-05,-4.690128875596484863e-05
1.248537340869412099e-04,4.845972944308790057e-06
3.314795042937377116e-04,-3.415539449987711577e-06
2.321171395074486980e-04,-1.253056160699486980e-04
-6.544480893569333850e-06,-1.765609878564306662e-04
-6.487793999990448899e-04,-3.964476507822051101e-04
-4.871249538976788569e-04,-3.292202609460711431e-04
2.163535896381916460e-06,-1.089750593338819165e-04
3.883391020819389541e-04,3.890699166806104586e-05
4.003545960969389088e-04,2.710321226530610912e-04
3.477959113715186441e-04,3.693671745659813559e-04
4.374717513818790113e-05,-2.115938548256879011e-04
-1.026745929441227293e-04,-6.517208674337727071e-05
-4.045584970793566918e-04,-2.820870107331433082e-04
-3.494552193132446829e-04,-3.600784720930053171e-04
7.357844695654876363e-05,-3.100896774252987365e-04
5.384382305415866049e-04,-2.408918438228366049e-04
8.096311099051548563e-04,-2.069089419364048563e-04
9.287338401866888308e-04,-2.420883323741888308e-04
8.936282022679444079e-04,-2.375002725804444079e-04
7.837131162727366740e-04,-8.943821392898667396e-05
5.349462679221672103e-04,-1.305883577659172103e-04
2.937882935349947727e-04,-1.564591919724947727e-04
1.691591527276782667e-04,-2.378237035089282667e-04
2.923592477147618539e-04,-7.110680630851185392e-05
6.149244345437157176e-05,2.243089638937842824e-05
-7.486424067361963650e-04,-1.516261479513036350e-04
-1.186815942222352576e-03,-1.330693116838974240e-04
-1.434059674773299200e-03,-5.367225882045079978e-05
-9.440518273931712339e-04,2.574063195806712339e-04
-8.537328536593532255e-04,-6.942388462189677447e-05
-1.351980625307324822e-03,8.550113311982482193e-05
-1.212774703893224103e-03,9.888310233072410312e-05
-8.483298299347316043e-04,-1.511208536590183957e-04
-1.007795208801046463e-03,-1.823903380739535368e-04
-1.469411946546052587e-03,-2.166842448601974131e-04
-1.544007368375560759e-03,-4.091176316244392406e-04
-1.716582274720748020e-03,-4.501657721542519797e-04
-1.571365327464875660e-03,-3.893890670663743402e-04
-1.057913442232908448e-03,-3.840421241733415515e-04
-6.092970271899348375e-04,-1.460130314038151625e-04
-2.282148330452043723e-04,1.459178617020437233e-05
-1.682315520575518764e-05,-1.510235244817448124e-04
1.814787525171575821e-04,1.688550529534241793e-05
4.026293511417685452e-04,-1.203417534855185452e-04
2.921821498904555591e-04,-7.092970848420555906e-05
-2.815919235318000064e-05,-7.102293655306999936e-05
-5.827795819266717381e-04,-4.319298907295782619e-04
-5.193972317131731724e-04,-2.588010104743268276e-04
-9.059758598650087297e-05,-1.535430390134991270e-04
3.808104558072495640e-04,9.984139966150043597e-05
4.119355125058076958e-04,3.128569679629423042e-04
4.464045413074540104e-04,2.631291500987959896e-04
-2.514851873937506044e-05,8.618367498937506044e-05
-6.281552737595025673e-05,-1.431781249677997433e-04
-3.627455383160391351e-04,-7.212994996521086485e-05
-3.623184203380158414e-04,-3.014389038807341586e-04
-2.607858283416433017e-05,-2.028032531033356698e-04
3.859037776528413135e-04,-1.875395198403413135e-04
6.847066364991570781e-04,-1.506490193116570781e-04
8.685325165293628861e-04,-2.581809540293628861e-04
8.810650917233776944e-04,-1.715314003171276944e-04
8.690378893838587903e-04,-2.205393542276087903e-04
6.729668197403970839e-04,-2.533501205216470839e-04
3.957319105343454820e-04,-1.592206800655954820e-04
2.025711216152091911e-04,-2.941238559902091911e-04
3.214972709672076715e-04,-7.735664596720767151e-05
9.238844807979242394e-05,1.746403605139575761e-04
-5.872915908621669043e-04,-1.451302841378330957e-04
-1.140213106568036677e-03,-3.471365124446332273e-05
-1.521701232731189658e-03,-1.262479860188103417e-04
-1.021520549461817128e-03,2.356929127430671279e-04
-9.444750418047548205e-04,8.235345977350482048e-05
-1.270650617405529601e-03,3.468870334302960080e-05
-1.354105518270463200e-03,-1.155610282328680023e-05
-1.060155697245992838e-03,-3.847711525400716176e-05
-1.101197514702190313e-03,-7.372924311030968660e-05
-1.503695136871101030e-03,-1.213658982851489702e-04
-1.532759055077363534e-03,-3.898483667976364656e-04
-1.599456741874620948e-03,-4.757385706253790519e-04
-1.553166779445065270e-03,-3.618112478986847298e-04
-1.164055394908218967e-03,-2.321238043105310327e-04
-7.363729121790842233e-04,-1.410074589146657767e-04
-3.168692355848606521e-04,-1.882412379013934794e-05
-1.465033717070001980e-04,-2.134330798049980196e-05
1.728855620962386499e-04,-5.844464412748864987e-05
3.577769588137097142e-04,9.235731853004028585e-05
3.983756324705586935e-04,-4.742348403305869349e-05
6.803089038650837641e-05,-9.091907398025837641e-05
-5.984463939852811224e-04,-2.789339771084688776e-04
-5.927282326703995968e-04,-1.702112204546004032e-04
-1.716731648897869722e-04,-2.326847452664630278e-04
2.304919761600451975e-04,2.890743790245480253e-05
4.094175835260183312e-04,3.306336860052316688e-04
4.042112013730198451e-04,4.273928025332301549e-04
-1.037065433704762308e-05,3.325883793079762308e-05
-9.469130143189048048e-05,-5.789658919310951952e-05
-2.187593115047794200e-04,-8.641646974522058000e-05
-3.996152135271450502e-04,-3.328066614728549498e-04
-7.930849046009638497e-05,-1.877203181336536150e-04
2.296834150631542597e-04,-3.212361494381542597e-04
5.196651301947864763e-04,-1.076778255072864763e-04
7.444833829999207260e-04,-8.835545331242072604e-05
8.931919958624990122e-04,-2.523228552374990122e-04
7.912373287918852928e-04,-1.503681881668852928e-04
7.351235799041231636e-04,-1.781777791228731636e-04
4.219141619536093905e-04,-1.396265642973593905e-04
2.450172976601765521e-04,-3.289406375039265521e-04
2.996694982884547890e-04,-1.394522131322047890e-04
1.920419266966599196e-04,5.209869830334008041e-05
-2.929951905571306177e-04,-1.800272703803693823e-04
-1.027324765119660586e-03,-1.781195708178394139e-04
-1.555217973776065873e-03,-6.984306138018412692e-05
-1.077040458778858031e-03,2.418401346635803105e-05
-8.907179759823463357e-04,2.859639395109633570e-05
-1.258892041265018700e-03,3.818891626501869953e-05
-1.423356411508760631e-03,-1.482988619287393690e-04
-1.094223516156606676e-03,-1.035914252496433242e-04
-1.062438690864330772e-03,-7.434109429191922830e-05
-1.321335356096638592e-03,-1.969141556221114080e-04
-1.598069805704423023e-03,-1.185439638268269771e-04
-1.375569255111657807e-03,-4.707442214508421926e-04
-1.325709815306337636e-03,-5.587506339124123644e-04
-1.190041467704684415e-03,-1.069556026078155846e-04
-8.617791512179621060e-04,-3.848940346953789397e-05
-4.493813771348137203e-04,4.502346697856372034e-05
-1.621029968257572875e-04,9.515106200757287485e-06
1.216249005830776213e-04,-1.481337714557762132e-05
3.853005172639120289e-04,1.905739289233797113e-05
4.024283292086369441e-04,3.244715907261305592e-05
1.390059410349825104e-04,-6.271199572248251043e-05
-4.866078795133649271e-04,-2.534433900178850729e-04
-5.147024546035592436e-04,-9.564910789644075640e-05
-2.539892179280159486e-04,-2.648096101969840514e-04
1.541162505081127205e-04,1.358007416793872795e-04
4.418502576972402622e-04,2.295364610527597378e-04
4.091056573431345626e-04,3.996101629693654374e-04
-3.750798615284191393e-05,1.061725369340919139e-04
-4.419247165472650510e-05,1.367489352972650510e-05
-1.079793265566233128e-04,-5.223795859962668720e-05
-3.547907372971322113e-04,-2.403020361403677887e-04
-1.749701830579330835e-04,-1.988701489733169165e-04
-3.693987018472713840e-05,-1.614243876277728616e-04
4.032786540920071439e-04,-1.743968181545071439e-04
6.547492610049819931e-04,-9.780346022373199305e-05
8.452313787765361767e-04,-2.425092108077861767e-04
8.570528839693373644e-04,-1.551485870943373644e-04
7.714921317033458532e-04,-3.907025670334585317e-05
5.294644913657269676e-04,-3.036268709476967580e-06
3.155001375246032215e-04,-1.705416414308532215e-04
3.105609965868849371e-04,-3.410785747118849371e-04
3.515283652886566764e-04,-9.975834575740667644e-05
-8.855494636005948315e-05,-1.326974950461905169e-04
-1.046808872775226856e-03,-1.891530412872731437e-04
-1.501223244726004966e-03,-6.280263418024503372e-05
-1.226587406504511596e-03,-7.803905833923840442e-05
-9.120716947416427712e-04,-2.634383260210722884e-05
-1.263153797619373693e-03,1.034858288693736930e-04
-1.576561313184249346e-03,-6.375851103450065442e-05
-1.283518038169187197e-03,-1.202905555808128028e-04
-1.109322748711487165e-03,-9.612158722601283484e-05
-1.228850594769354291e-03,-1.749579989806457087e-04
-1.419899202184819959e-03,-1.670148603151800411e-04
-1.306536445811396982e-03,-3.795597455948530180e-04
-1.201189413486352655e-03,-4.543891997948973447e-04
-1.116703526249634070e-03,-2.184405167191159295e-04
-9.721082290609785832e-04,9.472785796722858320e-05
-6.252304554749334338e-04,1.293198109436834338e-04
-2.253283985306585421e-04,4.985232431190854212e-05
9.442453989684716190e-05,9.631032338440283810e-05
3.280465956142819312e-04,1.754934434482180688e-04
3.382713908687833178e-04,9.660409741246668222e-05
8.666026253657219429e-05,6.592762808842780571e-05
-4.033542902047482269e-04,-2.298854558890017731e-04
-5.104625777027540622e-04,-1.456653519847459378e-04
-3.493193917358549706e-04,-1.771088309203950294e-04
1.206850808377074867e-04,2.427341525604251326e-05
4.039055821101857134e-04,3.666632655460642866e-04
3.851881565553921978e-04,4.540452418821078022e-04
-2.612585903413286079e-05,1.405667770028828608e-04
3.954126242393580550e-05,5.964086648231419450e-05
-3.346162707775990016e-05,2.583223254650990016e-05
-3.073175580906198183e-04,-1.657049028468801817e-04
-3.154197262205159571e-04,-2.491554690919840429e-04
-1.097355305423140662e-04,-1.649226725826859338e-04
2.146136328076931005e-04,-1.764666601514431005e-04
5.614428322286279128e-04,-9.604976582237791279e-05
8.052408578465456790e-04,-2.025186898777956790e-04
8.695515787090040945e-04,-1.600178873027540945e-04
7.785772300366947942e-04,-6.904353863044479424e-05
5.776250501008159790e-04,-9.697319463206597896e-05
2.479448694419245395e-04,7.248970087057546047e-05
2.807508524946417941e-04,-1.281629618696417941e-04
3.362451083202466968e-04,-6.921629972649669680e-05
-4.479508746488115672e-05,-8.490461956636884328e-05
-1.027490200199956700e-03,-6.351321776879330014e-05
