py_depth,my_depth
-9.612119716935393346e-04,-1.235961914062500000e-03
-5.050716838888605299e-04,-6.866455078125000000e-04
-3.956396062804477592e-04,-4.653930664062500000e-04
-7.534358114821678104e-04,-9.078979492187500000e-04
-8.032781233043309816e-04,-7.324218750000000000e-04
-5.545979721587860787e-04,-6.637573242187500000e-04
-6.660119759851351479e-04,-8.697509765625000000e-04
-7.261267826672399440e-04,-8.621215820312500000e-04
-9.805900914683493216e-04,-1.266479492187500000e-03
-1.054702286497652018e-03,-1.266479492187500000e-03
-8.209670043653637854e-04,-1.075744628906250000e-03
-9.459286884235205148e-04,-1.304626464843750000e-03
-6.347773157263365655e-04,-1.022338867187500000e-03
1.337657919693828598e-04,-7.629394531250000000e-05
4.181392501966944603e-04,3.051757812500000000e-05
4.064168186502051814e-04,2.593994140625000000e-04
3.620875440583388311e-04,2.288818359375000000e-04
3.865302021898893979e-04,2.822875976562500000e-04
-7.329900413346649530e-06,-1.220703125000000000e-04
-3.120229613535045222e-04,-7.858276367187500000e-04
-5.815224953679432865e-04,-1.083374023437500000e-03
-9.034822362671940626e-05,-2.288818359375000000e-04
1.678804578721494549e-04,1.296997070312500000e-04
2.242915210614937818e-04,1.678466796875000000e-04
2.199162717566313988e-04,2.517700195312500000e-04
1.507498144636712186e-04,7.629394531250000000e-05
-9.095927912988803444e-06,-4.043579101562500000e-04
-3.351355192390733642e-04,-6.637573242187500000e-04
-4.359325106972136710e-04,-7.400512695312500000e-04
3.971488164939551832e-05,-2.517700195312500000e-04
3.763603257303534512e-04,1.831054687500000000e-04
6.652952012929080070e-04,5.264282226562500000e-04
6.556324127188061391e-04,6.408691406250000000e-04
7.202175031101099890e-04,3.814697265625000000e-04
5.720788931968101955e-04,2.365112304687500000e-04
3.884471013030292141e-04,1.983642578125000000e-04
3.655424195864439359e-04,6.103515625000000000e-05
3.163317567787488158e-04,3.814697265625000000e-05
4.037359578154265912e-04,-9.918212890625000000e-05
-7.852605749002582853e-05,-2.899169921875000000e-04
-5.446264178957646368e-04,-6.408691406250000000e-04
-9.613157653602753946e-04,-1.190185546875000000e-03
-1.161565387913620533e-03,-1.510620117187500000e-03
-6.384635496736387750e-04,-9.231567382812500000e-04
-4.881580013917579492e-04,-4.959106445312500000e-04
-8.439803843747674004e-04,-9.689331054687500000e-04
-9.047159615497036298e-04,-8.850097656250000000e-04
-7.392286645421061080e-04,-5.722045898437500000e-04
-6.325178742106465565e-04,-8.468627929687500000e-04
-7.494481236057698231e-04,-1.045227050781250000e-03
-1.207484172601919724e-03,-1.480102539062500000e-03
-1.284904881856045993e-03,-1.724243164062500000e-03
-1.087344037164253516e-03,-1.487731933593750000e-03
-1.135770856117086216e-03,-1.533508300781250000e-03
-7.739949393508761257e-04,-1.182556152343750000e-03
-1.157621556218347213e-04,-2.136230468750000000e-04
3.333672705112363985e-04,-3.814697265625000000e-05
2.508217771761096847e-04,2.517700195312500000e-04
4.346588470785864040e-04,2.822875976562500000e-04
3.137187869406754862e-04,1.983642578125000000e-04
7.781657818970932829e-05,-9.918212890625000000e-05
-3.545113064670103601e-04,-5.950927734375000000e-04
-6.345805361758997259e-04,-1.045227050781250000e-03
-1.771638259451635111e-04,-3.814697265625000000e-04
2.078179203904758352e-04,9.918212890625000000e-05
2.757080703062806510e-04,2.288818359375000000e-04
1.902255202126030046e-04,3.890991210937500000e-04
1.863951532944299995e-04,2.441406250000000000e-04
-1.099790423501510945e-04,-3.204345703125000000e-04
-3.039257972108962841e-04,-5.798339843750000000e-04
-4.595482000688615957e-04,-7.400512695312500000e-04
-9.390115170866157796e-05,-2.899169921875000000e-04
2.845811684001156344e-04,3.051757812500000000e-05
7.057235605476858565e-04,4.882812500000000000e-04
7.212676652799558446e-04,8.010864257812500000e-04
8.377642328865707701e-04,6.408691406250000000e-04
5.550135067174360570e-04,4.501342773437500000e-04
4.332303836611834953e-04,3.051757812500000000e-04
3.583794377910689459e-04,1.068115234375000000e-04
2.445598624311422762e-04,-9.918212890625000000e-05
3.862280627764792893e-04,-9.155273437500000000e-05
1.469393317238830193e-04,-3.051757812500000000e-05
-4.312290679202195661e-04,-5.569458007812500000e-04
-9.591645948935980130e-04,-1.159667968750000000e-03
-1.255022955886471491e-03,-1.663208007812500000e-03
-7.917969964953236418e-04,-1.007080078125000000e-03
-6.056507827874768775e-04,-5.264282226562500000e-04
-8.570864313915364926e-04,-1.007080078125000000e-03
-1.092672911738070069e-03,-9.155273437500000000e-04
-9.154908276954113735e-04,-7.476806640625000000e-04
-5.931706675883944646e-04,-7.095336914062500000e-04
-8.556527225653136120e-04,-1.113891601562500000e-03
-1.291690397207337620e-03,-1.579284667968750000e-03
-1.464931682262965353e-03,-1.968383789062500000e-03
-1.372856307975115452e-03,-1.640319824218750000e-03
-1.292512358319524660e-03,-1.762390136718750000e-03
-8.516958563203196357e-04,-1.258850097656250000e-03
-2.190076678620905945e-04,-4.043579101562500000e-04
1.923765231472565423e-04,-1.525878906250000000e-05
3.695562118682478234e-04,2.593994140625000000e-04
2.562609642683029171e-04,2.365112304687500000e-04
2.390413129701554108e-04,2.288818359375000000e-04
1.701828133004462543e-04,-7.629394531250000000e-06
-8.898261556061155320e-05,-4.730224609375000000e-04
-5.803049280306897496e-04,-1.129150390625000000e-03
-3.263663047177653691e-04,-5.416870117187500000e-04
2.522354701438154936e-04,1.220703125000000000e-04
4.116054102050278234e-04,3.890991210937500000e-04
2.947797061263160066e-04,5.340576171875000000e-04
2.236639117703646698e-04,3.890991210937500000e-04
-5.678602959614638336e-05,-1.296997070312500000e-04
-1.759305512411764077e-04,-4.425048828125000000e-04
-4.974658260951049689e-04,-7.553100585937500000e-04
